,Date,real_b,predict_b,se_b,real_g,predict_g,se_g,Iftrad
141,2017/1/30,912.19,919.2930534,23.80636391,1192.8,1183.030551,16.8023429,TRUE
142,2017/1/31,964.706075,910.438089,23.72929902,1212.8,1189.367918,10.55842491,TRUE
143,2017/2/1,979.703875,958.0131344,24.07880362,1203.65,1209.425077,10.63606154,TRUE
144,2017/2/2,983.42,982.4167721,24.06109941,1221.95,1205.001341,10.56455872,TRUE
145,2017/2/3,1013.027,981.7208695,23.97758424,1215.2,1219.894701,10.79078882,TRUE
146,2017/2/4,1030.999413,1011.228937,24.03420865,,1216.938724,10.67766787,FALSE
147,2017/2/5,1034.07,1031.89361,24.00585593,,1218.859797,14.18593254,FALSE
148,2017/2/6,1024.01375,1035.301035,23.92760164,1226.75,1221.354258,16.71218196,TRUE
149,2017/2/7,1050.11,1025.956138,23.8673535,1231,1229.005066,10.78602163,TRUE
150,2017/2/8,1052.84,1046.414035,23.86252696,1242.1,1233.016491,10.68165322,TRUE
151,2017/2/9,976.103,1056.773144,23.79067505,1236.8,1241.097853,10.30438958,TRUE
152,2017/2/10,999.1035,983.1623827,24.57948413,1228.3,1237.964233,10.51923323,TRUE
153,2017/2/11,997.59,990.0364573,24.53077082,,1229.450175,10.05170125,FALSE
154,2017/2/12,1000.604625,1003.360565,24.45744666,,1227.022711,13.83511338,FALSE
155,2017/2/13,999.877375,995.4598853,24.38000904,1222.25,1230.64286,17.27446772,TRUE
156,2017/2/14,1001.2,1004.485009,24.28094225,1230.75,1221.843627,9.753300655,TRUE
157,2017/2/15,1012.325988,998.2576235,24.2257004,1224.4,1227.633981,10.56130384,TRUE
158,2017/2/16,1035.208125,1012.264026,24.17485876,1240.55,1222.43779,10.5032948,TRUE
159,2017/2/17,1035.2,1031.461902,24.1664282,1241.95,1237.72491,10.55489496,TRUE
160,2017/2/18,1056.637138,1036.985842,24.09185391,,1240.408964,10.62039836,FALSE
161,2017/2/19,1052.779286,1053.907332,24.00879256,,1241.256721,14.04934789,FALSE
162,2017/2/20,1050.87,1058.063763,23.93346849,1237.3,1242.025538,16.4957355,TRUE
163,2017/2/21,1123.788429,1050.232277,23.86972046,1233.2,1239.301272,10.59264147,TRUE
164,2017/2/22,1123.223188,1116.041536,24.56415719,1236.65,1235.23052,10.53745865,TRUE
165,2017/2/23,1130.01,1129.894301,24.49463506,1247.9,1238.745246,10.460386,TRUE
166,2017/2/24,1174.86625,1125.984339,24.4210658,1253.65,1246.507843,10.32923431,TRUE
167,2017/2/25,1150.605714,1174.114258,24.6363057,,1256.036341,9.906391936,FALSE
168,2017/2/26,1150.37,1157.460033,24.62443499,,1254.07315,13.47632126,FALSE
169,2017/2/27,1190.75195,1147.442233,24.55855736,1257.2,1253.804897,16.89640156,TRUE
170,2017/2/28,1187.565286,1188.907604,24.70986204,1255.6,1254.329668,9.650764022,TRUE
171,2017/3/1,1190.89,1191.254229,24.63708274,1240.4,1257.743516,10.1439393,TRUE
172,2017/3/2,1259.410817,1189.754928,24.56670415,1238.1,1241.657383,10.15379193,TRUE
173,2017/3/3,1285.14,1255.665673,24.90514208,1226.5,1238.630168,9.748456406,TRUE
174,2017/3/4,1287,1291.031012,24.92921751,,1224.261036,9.904838712,FALSE
175,2017/3/5,1270.9333,1289.821297,24.8586835,,1226.409596,13.48276184,FALSE
176,2017/3/6,1275.197375,1277.216137,24.82665654,1230.95,1226.40834,16.96158296,TRUE
